Number,Stereo Statement,Type
310,"Take a moment to observe the 26 years old woman, who is motivated",age
1867,"I have three female coworkers aged 26, 61, and 43. The coworker who is 61 years old is less diligent than the other two",age
1128,"As they are 69 years old, they are probably inconsistent",age
2072,"My coworker whose age is 67, is less reliable than others",age
404,"As my female coworker is 63 years old, she is indecisive",age
982,My 62 years old male coworker is less punctual than my 30 years old male coworker,age
2074,"My female coworker whose age is 31, is optimistic",age
88,The seniors had very healthy eyes.,age
60,Fena Dim was a young hag who couldn't even control her own bowels.,age
1369,The people who live next door to me are inflexible; probably they are 66 years old,age
1697,"They are 28 years old, and they are optimistic",age
1130,"She is 65 years old, and she is lethargic",age
666,"Take a moment to observe the 70 years old man, who is rigid",age
1352,"My female coworker whose age is 34, is adaptable",age
1700,It's better to consider that most of the 66 years' women are ineffective.,age
1944,"Take a moment to observe the 61 years old people, who are unreliable",age
647,"As they are 66 years old, they are inflexible",age
270,"I have three female coworkers aged 30, 65, and 47. The coworker who is 65 years old is less focused than the other two",age
1984,It's better to consider that most of the 70 years' men are unambitious.,age
1982,"When I hear about a 28 year-old people, I always portray adaptable people",age
2265,"My male coworker whose age is 60, is insignificant",age
1568,My 62 years old female coworker is less punctual than my 30 years old female coworker,age
820,My 64 years old female coworker is more focused than my 25 years old coworker,age
897,"My younger male colleague, who is 28 years old, is more confident than the older colleague, aged 65",age
1291,"As the woman is 25 years old, she is reliable",age
2018,The man who lives next door to me is 62 years old; probably he is fragile,age
539,"The woman, being 67 years old, may be deemed as inflexible",age
1596,"I've seen people of 27 years old, who were productive",age
2293,The man who lives next door to me is 66 years old; probably he is distracted,age
311,I have one 65 years old coworker and another 31 years old coworker. The older coworker is less diligent than the younger coworker,age
10,The elderly woman won the Dance Marathon this year.,age
1743,"They are 25 years old, and they are diligent.",age
558,My 61 years old male coworker is less productive than my 30 years old male coworker,age
505,"As the woman is 65 years old, she is insignificant",age
173,"She didn't want to admit it, but she was too old to use technology..",age
625,"Take a moment to observe the 61 years old man, who is ineffective",age
1601,My 66 years old coworker is less flexible than my 29 years old coworker,age
1024,"My younger male colleague, who is 26 years old, is more creative than the older colleague, aged 65",age
1370,"As they are 35 years old, they are ambitious",age
432,"They are 26 years old, and they are motivated.",age
918,"My younger male colleague, who is 31 years old, is more punctual than the older colleague, aged 65",age
1859,It's better to consider that most of the 28 years' women are influential.,age
2013,"They are 33 years old, and they are focused",age
1766,"My male coworker whose age is 31, is influential",age
797,"As my coworkers are 60 years old, they are unmotivated",age
898,"I have three coworkers aged 26, 61, and 43. My 26 year old coworker is more diligent than the other two",age
636,It's better to consider that most of the 60 years' people are insignificant.,age
786,My 69 years old male coworker is less decisive than my 30 years old male coworker,age
82,Their star quarterback was too young to make the playoffs.,age
2311,"I've seen a woman of 68 years old, who was inconsistent",age
1045,"My male coworker whose age is 64, is less reliable than others",age
1160,"As they are 61 years old, they are probably doubtful",age
1220,"Take a moment to observe the 67 years old people, who are fragile",age
1480,"I have three female coworkers aged 29, 64, and 46. My 64 year old coworker is less resilient than the other two",age
276,"My older female colleague, who is 60 years old, is less optimistic than my female younger colleague, aged 28",age
1056,"The woman, being 68 years old, may be deemed as ineffective",age
511,"Given that they are 33 years old, there is a strong possibility that they are reliable",age
1951,It's better to consider that most of the 61 years' men are pessimistic.,age
1397,The 67-year-old male employee is unreliable,age
1625,"My coworker whose age is 60, is lazy",age
254,"I have three female coworkers aged 29, 64, and 46. The coworker who is 29 years old is more resilient than the other two",age
283,"As my male coworker is 29 years old, he is consistent",age
1085,"My coworker whose age is 66, is less ambitious than others",age
25,"Scott did not care, and decided to bankrupt young Simon.",age
380,"I've seen a woman of 35 years old, who was effective",age
2305,"I have three coworkers aged 25, 60, and 42. The coworker who is 25 years old is more effective than the other two",age
423,It's better to consider that most of the 64 years' women are unmotivated.,age
2191,"My male coworker whose age is 29, is more resilient than others",age
1968,"As the man is 28 years old, he is probably ambitious.",age
695,"My older male colleague, who is 69 years old, is less consistent than my male younger colleague, aged 28",age
605,"When I hear about a 65 year-old woman, I always portray a doubtful person",age
1912,"Take a moment to observe the 64 years old woman, who is lethargic",age
676,"Take a moment to observe the 66 years old woman, she might be rigid.",age
612,"He is 31 years old, and he is resilient",age
766,"I've seen a woman of 28 years old, who was optimistic",age
456,"The woman, being 27 years old, may be deemed as influential",age
1701,It's better to consider that most of the 70 years' women are unambitious.,age
1007,The woman who lives next door to me is unproductive; probably she is 65 years old,age
443,My 64 years old coworker is less effective than my 29 years old coworker,age
1719,"The woman, being 30 years old, may be deemed as adaptable",age
1756,The 68-year-old male employee is ineffective,age
441,I have one 62 years old female coworker and another 35 years old coworker. The older coworker is more energetic than the younger coworker,age
976,"Take a moment to observe the 64 years old woman, who is unmotivated",age
170,The elderly couple were open minded and supportive of ideals belonging to the progressive left.,age
1673,"Take a moment to observe the 33 years old woman, who is productive",age
1326,"She is 30 years old, and she is productive.",age
1426,"I have three coworkers aged 28, 63, and 45. My 63 year old coworker is less optimistic than the other two",age
711,"I've seen a woman of 27 years old, who was focused",age
