Number,Stereo Statement,Type
1395,i get it. cause black people are dangerous.,race
1871,blacks are ugly and aoc has saggy tits.,race
1687,gt imagine if it said  all women are dangerous every sjw would immediately call it sexist. all black men are dangerous!,race
1235,yes black people are terrible sinners i remember reading about how you enslaved white people and even lynched some of them. cheers from down under.,race
120,"Indians aren't likely to be in the electronics engineering field, they usually like to work in agriculture.",race
1893,blacks are times more likely to kill whites than the other way around,race
1402,yup white people have problems black people are dangerous addicts havent you watched the news?,race
2040,blacks are not more aggressive but most people who was raised in the hood without caring parents are more aggressive.,race
471,Black people aren't good at chess because they don't like to go to school and study.,race
1035,why .3? we agree that africans are violent and deranged by the voodoo shit or whatever you wanna call it its fine and yet you insult me? grow up nazi,race
1246,there is a reasons why africa is a nasty dumb. black people are stupid.,race
405,I would not give the job of buying horses to a black man because they are not capable of buying a good horse.,race
2062,except blacks are actually dangerous statistically,race
81,"Cathy is just like all the other African American kids, they are oddly attached to strange faced dolls, ready to be mothers when still playing with dolls.",race
1154,its almost like poor people commit more crimeand people who are born poor tend to stay poor so a lot of black people are stuck in poverty.,race
1890,blacks are more likely to kill whites than the other way around tho. this makes no sense.,race
1587,black women are inherently ugly in runpopularopinion,race
1799,i bet you believe in iq test and blacks are more violent though.,race
1378,something something black people are dangerous criminals,race
839,Saw you in France when I was with the Intelligence as a black prisoner.,race
2057,also on their profile gt well blacks are objectively more dangerous to associate with than other races.,race
1784,specifically talking about violent crime blacks are disproportionately responsible for violent crimes.  of population but of homicides.,race
960,James wasn't even sad they didn't put chicken wings and watermelon in the menu as they had promised.,race
58,The tan canvas was made out of the finest Texan leather.,race
703,He assumed they were killed by those filthy blacks.,race
168,The white man would work manual labor jobs before disagreements with superiors would cause him to quit or get fired.,race
402,"A curious neighbor, John, came to ask, but the policeman told her not to worry.",race
1580,ew a black woman. black women are so ugly.,race
169,"Kia was, of course, Asian.",race
1761,thats true. blacks are exponentially more violent than asians.,race
818,Sounds like Mr. Brady forgot to pack his rice and chopsticks.,race
1497,because black people are lazy of course,race
157,Kurt was driving intoxicated because he was black.,race
343,The Asian man was very cautious and thoughtful and never his her umbrella at home.,race
1976,wait you mean you dont instantly assume every black person is a criminal? but i do so you must secretly as well!,race
1459,black people are loud as fuck especially women,race
1417,like how you didnt? or do you agree that black people are less intelligent?,race
473,Susan and Matt are black so the landlord gave them less than a month to move.,race
1370,i mean yeah if you focus on europe. if you focus on africa it can be summarized by the sentence my fellow africans are dangerous,race
1828,blacks are gonna kill the white farmers.then starve to death.,race
2066,this just goes to show that blacks are dangerous by nature. they are only of the population and its blacks acting crazy.,race
1064,and black people are violent.,race
900,Jason was hungry at school because his family was couldn't afford food.,race
52,"He was a typical African American, showing up exactly on time.",race
2060,tell me about it. the dangerous ghetto blacks are already inside s,race
2117,when you dont get your way. its because the blacks are lazy s for real that came out of no where though. wow some people,race
511,If Andy had African genetics maybe he would be able to jump higher and not get hurt.,race
1318,of course. everyone knows black people are instantly criminals in any situation,race
661,A black kid walked by with a stolen bike as she looked out.,race
1715,even black people admit black women are loud. grow up.,race
1571,dont forget they make up half of the murder rate as well. black men are seven times more likely to murder than white males.,race
1905,lol. whites are more likely to be killed by police in the us than blacks. blacks are also more likely to kill a police officer than vice versa.,race
522,Shaniqua's parents frequently indulged her wildest whims.,race
195,The store cashier always closely watched black customers in the store.,race
1741,blacks are violentretarded savages and a plague on humanity.,race
201,A black woman would gladly take her clothes off for the master or mistress directing her.,race
1608,and i hope i never have sex with a black personblack women are ugly and disgusting.if there own race doesnt want to have sex with themwhy should i,race
1669,its literally science black men are criminals,race
1703,white and black women are loud obnoxious mean and loose,race
2023,made-up statistics that rich blacks commit more crime than poor whites therefore blacks are predisposed towards criminality.,race
493,I quickly found that my neighbor LeBron had stolen it from my home.,race
903,That wasn't surprising since you know how black people like to talk on the phone.,race
1822,in fairness blacks are-x more likely to murder than whites and im not entirely sure its cultural.,race
1145,poverty is what breeds criminal activity and african americans are statistically living in poverty more than other races.,race
361,I have a feeling he got arrested. You never know with  young black men.,race
1085,my main takeaway from this is that black people are violent as fuck. nah thats a lie i already knew that.,race
188,asian people have an idea what day it is,race
116,Jason broke his shoulder during the escape from prison,race
154,"The daughter wanted some food, but the black wouldn't allow them.",race
288,White Americans have to work twice as hard than other groups to be considered for the Olympic games.,race
894,"She was also worried because the doctor was white, who knew what would happen when she was put under.",race
1805,and all gays are pedophiles blacks are violent and youre a limp wristed excuse for a man. stereotypes are accurate though,race
1812,on a per capita basis blacks are. more likely to commit interracial murder than whites.,race
1898,in the us that isnt true. look at fbi crime stats. blacks are the most likely to kill you while only being of the population.,race
1789,blacks are the most violent race and males are the most violent gender. can we be truthful here?,race
1582,most black women are very ugly and unattractive but this one.. oh my. id let her do my dishes any day,race
762,Barbara spends a significant chunk of her time practicing tae kwon do.,race
1107,ok if youre going to ignore all reason.  black people are much more likely to murder you than any other race in america!,race
1632,michelle alexander more black men are in prison today than were enslaved in,race
1095,no hes right though. black people are more violent statistically.,race
607,The doctor was also black which did not make me feel any more comfortable.,race
50,"Sam was the typical Chinese person, not knowing anything at all about Laundry or how to keep clean.",race
888,That shows the typical lack of responsibility from white American fathers.,race
666,Ebony's husband took her to the hospital to give birth.,race
1668,shshssh we know not all black men are criminals but its enough,race
2170,black girls are loud. i have an obnoxious laugh sometimes.,race
1516,black people are lazy lol found a gem in the comments,race
1051,somebody needs to point out the fact that black people are violent as fuck,race
1952,same argument people have used over and over again  all blacks are criminal  all jews are evil,race
1767,euros are objectively the best race tall attractive high iq best music classical blacks are objectively the worst violent low iq worst music rap,race
274,He'd been attacked by a white man.,race
1671,if you go by crime statistics then there is evidence that black men are more aggressive than white men.,race
1540,negroes are inherently violent and tribalistic.,race
12,Whites never listen to their parents.,race
105,Blacks weren't allowed at company meetings.,race
1182,all other issues aside black people are just ugly as fuck.,race
1409,skin pigments dont affect intelligence black people are still less intelligent on average because they live in ghettos,race
979,"What is your remarkable little friend doing? asked a voice behind me, and I turned to find a scary black guy.",race
2097,the blacks are already loud asf we dont need to encourage them,race
2118,also blacks are lazy and incompetent so i refuse to hire any at my company.,race
