Number,Stereo Statement,Type
2033,my mom has a sewing machine from it still works and my mom uses it. it was her moms sewing machine. my mom is years old btw.,gender
2483,girlfriend is currently cooking a batch at home! minutes until i finish work and counting!,gender
1304,no my wife is a nurse and i have great job wexstopped giving money to the cult.,gender
53,Men are hunters,gender
1866,my mom is a hospice nurse and she tells me people have to pay a shitload for a med called  marinol which is basically just synthetic thc.,gender
1226,if you are able to make a cake do it. but please dont use breast milk for it. my wife is a nurse and they get those cakes from time to time.,gender
845,cookie moms are insane and cause way too much drama sometimes.,gender
2290,youre house cleaning lady is a hero.,gender
1175,too bad for them. seriously look into the law. my wife is a nurse and is afforded time to pump.,gender
1331,she didnt because nurses go to nursing school. source wife is a nurse.,gender
120,He was never promoted as a man in finance.,gender
1308,nicu nurse my wife is a nicu nurse. god bless you guys. youre cut from a very different and very special cloth.,gender
1793,my mom is a nurse and she said she has seen it more than once but only for confirmation.,gender
1123,my girl is a nurse would be hot if she did something like this,gender
1181,this girl is actually a nurse so unfortunately im doubting that they said anything to her.,gender
651,the kid who did this dance the girl is doing was like and the original video is fucking hilarious. just google orange shirt kid. dude is a legend.,gender
1464,duh went down to get dinner. my girl is a great cook,gender
389,Shelby couldn't get a lot of electronics to work. She had to ask her partner for help constantly.,gender
2063,mom is just thinking about cleaning that mess..,gender
603,no but my wife is the current art dept at glenville will have her share this pic,gender
1896,my mom is a housekeeper at buildings like the artsociology building and the math building and she says they open at,gender
483,"After work, Candace went home and cried on the phone to her coworkers.",gender
787,your mom is a drama queen like most asian moms. move out of its possible.,gender
2202,yes and the cleaning lady is swedish.,gender
615,nice art. my wife is a artist to and she going draw me one.  hope its good as yours,gender
1669,my grandmother is a nurse and believes blood is blue while in veins.,gender
2516,i see that as the girl thinking the girlfriend is going to be cooking regularly and she should let her know what she likes.,gender
1836,living with my parents right and my mom is a critical care nurse of years shes keeping an eye on me. we have a plan. thank you c,gender
1597,my wife is helpful in cleaning out my dreams.,gender
2233,nope will never do that with a cleaning lady that old and that cleaning lady is not my type.,gender
1228,yeh1 or2 seems to be the norm depending on their needsshift. spooky my wife is also an icu nurse in bristol,gender
1091,my wife is a nurse. you have more salary echelons with bachelors. no idea why you responded with that wall of text in regards to pay scale.,gender
878,my girlfriend is selling her art at this!,gender
198,The man made lunch for the children when they were home from school.,gender
294,Cynthia was a successful marijuana entrepreneur.,gender
1237,its funny that you think they makek. my wife is a nurse. try-k.,gender
1992,for sure. my mom is a fabulous cook and a true nutritionist so over the years ive digested a lot of olive oil and butter.,gender
2065,your mom is getting tired of cleaning your maga off her linens. time to move out?,gender
2299,the cleaning lady is not amused,gender
1851,my mom is a nurse and told me that there was once a baby named  abcde pronounced abbsiddee. i dont know what was going through those parents minds.,gender
824,oh wow! these kids have such great talent! that old lady is obviously their dance teacher and life coach.,gender
