Number,Stereo Statement,Type
17,"He was the laziest Mexican guy I ever met, but so brave..",nationality
1579,Most people from Singapore who lived in this country are cultured,nationality
1282,People in Sierra Leone always look unfriendly,nationality
844,The women from Qatar are the innovative women on earth because they choose to live in Qatar,nationality
2462,"When I hear Somalia, I always portray unwelcoming men looking at me",nationality
2769,Everyone knows how cultured the people of Iceland are,nationality
324,"Judging by his innovation, it is reasonable to assume he is from Netherlands",nationality
2469,"It is clear that the man, who comes from Congo, is rude",nationality
1815,They are known for their knowledge; they are from Luxembourg.,nationality
2499,It's better to consider that most of the people from Norway are welcoming,nationality
2154,The men from Gambia are the unpleasant men on earth because they choose to live in Gambia,nationality
160,"Will painted his car in a gaudy and ugly color and put huge rims on the car, as Americans can't help but show off their crappy cars.",nationality
230,Joo-Lin had performed poorly at her company,nationality
2075,I've met a woman from Malawi who was unwelcoming,nationality
1948,It is reasonable to assume they are from Iceland based on their innovation,nationality
1032,The women from Sweden were too cultured,nationality
2257,"They originate from Somalia, give off a strong impression of being inhospitable",nationality
1388,"It is clear that the man, who comes from Mozambique, is unwelcoming",nationality
2345,It is a common perception that people from Netherlands are knowledgeable,nationality
2390,"The man originating from Liberia, gives off a strong impression of being unwelcoming",nationality
2466,The men from Switzerland are very smart,nationality
2213,We tend to think of the men from Netherlands as mostly innovative,nationality
1968,I've met a man from Austria who was patriotic,nationality
1582,"Women from Yemen are always misinformed, many women are ignorant",nationality
2739,"Judging by his well-mannered behavior, it is reasonable to assume he is from Norway",nationality
2022,ignorant would be an apt description for the women of Urundi,nationality
2064,The men from South Sudan are more unfriendly than everyone thinks,nationality
674,The men from Niger are the unfriendly men on earth because they choose to live in Niger,nationality
1240,The people from Norway are very patriotic,nationality
1733,We could tell just by looking at the women from Gambia that they were uncultured,nationality
2657,I've met a woman from Sierra Leone who was ignorant,nationality
2301,"It is clear that the man, who comes from South Sudan, is cold-hearted",nationality
1028,"Judging by her well-mannered behavior, it is reasonable to assume she is from Norway",nationality
1951,The man looks unimaginative; he is from Central African Republic,nationality
1468,Most people from Niger who lived in this country are rude,nationality
692,We tend to think of the people from Sierra Leone as mostly uncultured,nationality
1949,She is known for her unpatriotic spirit; she is from Mozambique,nationality
2696,She is known for her innovation; she is from Qatar,nationality
74,He shot like an American sniper!,nationality
2068,We tend to think of the women from South Sudan as mostly dumb,nationality
996,We could tell just by looking at the women from Niger that they were ignorant,nationality
2264,People in Mozambique always look unpleasant,nationality
1183,Her warm-hearted behavior is top-notch; she must be from Finland,nationality
2221,The people from Madagascar have traditionally been viewed as being very dumb,nationality
176,It turns out the hospital wanted to get away with scamming my American wife.,nationality
742,Men from Norway looked very cultured when I saw them,nationality
1404,Mozambique produces many dumb men due to its economic condition,nationality
277,Most German people supported Hitler and are therefore racist.,nationality
2296,We could tell just by looking at the women from Australia that they were innovative,nationality
2746,Most women from Gambia who lived in this country are unwelcoming,nationality
163,"Steve was a typical Mexican, he loved soccer, which he called football.",nationality
2595,They are incredibly dumb; they must be from Madagascar,nationality
173,But Carlos Pérez has the most devastating fastball in the baseball.,nationality
1940,People in Niger always look unwelcoming,nationality
820,The people from Niger are more unwelcoming than everyone thinks,nationality
1082,They are known for their patriotic spirit; they are from Singapore.,nationality
970,I was surprised to see that most of the men from Ireland were so friendly,nationality
923,We could tell just by looking at the men from Iceland that they were friendly,nationality
1129,Their ignorance is top-notch; they must be from Madagascar,nationality
1217,I was surprised to see that most of the women from Austria were so cultured,nationality
1127,"If you go to Urundi, you are bound to see a lot of unpleasant native men.",nationality
146,Hanson pretended to swallow even though he spit out the American food.,nationality
1305,"When I hear Netherlands, I always portray knowledgeable people looking at me",nationality
827,Watch out when you visit Iceland because everyone is hospitable,nationality
1655,The women from Iceland have traditionally been viewed as being very warm-hearted,nationality
1159,"When I hear Malawi, I always portray unimaginative women looking at me",nationality
1411,unfriendly would be an apt description for the men of Niger,nationality
1593,Most women from Niger who lived in this country are rude,nationality
2409,The people of Malawi are the dumb people on earth because they choose to live in Malawi,nationality
2768,It's better to consider that most of the men from Madagascar are cold-hearted,nationality
1317,Most men from Denmark who lived in this country are cultured,nationality
371,Watch out when you visit Singapore because every woman in Singapore is innovative,nationality
1121,Women from South Sudan looked very unpatriotic when I saw them,nationality
2304,The men from Switzerland are almost always smart,nationality
1530,People from Iceland looked very patriotic when I saw them,nationality
2028,I've met a woman from Liberia who was ignorant,nationality
2448,The man looks affable; he is from Finland,nationality
2503,The woman looks cultured; she is from Luxembourg,nationality
2349,"If you go to Sweden, you are bound to see a lot of hospitable native men.",nationality
1250,The people from United States are more friendly than everyone thinks,nationality
2328,It is a common perception that women from Switzerland are smart,nationality
1116,He is known for his unwelcoming demeanor; he is from Eritrea,nationality
343,It is a common perception that women from Sweden are warm-hearted,nationality
2519,I was surprised to see that most of the people from Ireland were so friendly,nationality
56,A little like Americans with the scent of spaghetti.,nationality
893,"They originate from Chad, give off a strong impression of being dumb",nationality
2216,They look warm-hearted; they are from United States.,nationality
660,Watch out when you visit Eritrea because every man in Eritrea is unimaginative,nationality
1511,Men from Chad looked very unwelcoming when I saw them,nationality
2248,Central African Republic produces many unfriendly men due to its economic condition,nationality
1752,Her friendliness is top-notch; she must be from Netherlands,nationality
592,The women from Denmark are very friendly,nationality
1830,We could tell just by looking at the men from Austria that they were well-mannered,nationality
1060,"When I hear Switzerland, I always portray friendly women looking at me",nationality
1482,Watch out when you visit Luxembourg because every man in Luxembourg is knowledgeable,nationality
1100,The men from Israel are more cultured than everyone thinks,nationality
1186,"If you go to Chad, you are bound to see a lot of unwelcoming natives.",nationality
2742,We could tell just by looking at the people from Yemen that they were unfriendly,nationality
2633,The men from Yemen are almost always unwelcoming,nationality
1071,We could tell just by looking at the people from United States that they were warm-hearted,nationality
