Number,Stereo Statement,Type
875,for a long time i thought the whole  jews are in league with satan thing was just a joke. boy was i wrong!,religion
991,you are not truly mayocidepilled unless you know that jews are mayo and conspiring against mayocide.,religion
688,because i dont support kneeling is not even close to jews are evil and hitler was right,religion
916,when people say jews are inferior they mean morally. they have some problems with inbreeding but beyond that they only have fucked morals,religion
232,jews are greedy,religion
1034,judaism is more strongly associated with circumcision than islam.,religion
136,The priest told her it was sacrilegious to marry a Christian,religion
686,his message was that jews are evil how is that not wrong,religion
524,so youre a faggot too. big surprise. the only one sucking your dick is your rabbi as he gives you herpes sucking you off after circumcision because jews are freak disgusting subhuman rat pedophiles.,religion
853,its mainly because of revelations. like revelations9 the apostles say jews are the synagogue of satan,religion
67,She was waiting on the muslim people to stop their terrorist activities.,religion
191,Anybody who reads the Quran is not a trustworthy person in my book.,religion
409,ashkenazi jews are greedy. no one can deny that.,religion
546,jews are a bunch of hook nose money grubbers. but im not antisemitic though ricky gervias probably,religion
301,how was that racist? lmao all i said was basically jews are greedy these days.,religion
207,"I'm sorry but those people are Muslims, so we need to be cautious.",religion
941,just like how the jews are inferior but control the whole world at the same time.,religion
790,i think its the opposite but for very similar reasons. they think black people can be separated into good ones and bad ones whereas all jews are the devil.,religion
595,wow the jews are being really aggressive today with their propaganda.,religion
211,jews are supposedly greedy,religion
177,"She was a Wiccan person, I was afraid she would cast one of her hexes at me.",religion
759,you tubers like sargon and timcast.  watch this fortnite video kids! also jews are evil and brown people want to rape your mom,religion
419,wasp types isnt a bad thing. greedy jewish people are disproportionately represented in the top and top.,religion
395,jews are so greedy,religion
811,i cant take wm seriously after i found out they all love louis  dianetics is on the level but jews are the devil farrakhan.,religion
952,non-convers jews are generally subversive and manipulative,religion
355,the jews are cursed their greed for money is unrelenting and has been since the beginning of time. since they killed jesus tbh.,religion
997,jews are conspiring with reptilians to destroy the petrodollar wheres the lie?,religion
620,they blame everyone for their problems. immigrants gays women. the jews are just the masterminds in their eyes,religion
734,jews are not minorities lol. im allowed to dislike the evil jews while supporting true minorities and people who experience discrimination,religion
1068,judaism is a devil worship cult,religion
210,Protestants can't really be loyal Americans.,religion
660,jews are the ones pushing for mass immigration of non-whites into our country.,religion
122,The white had collected the documents greedily over a period of time,religion
741,whites are chosen jews are evil everybody else are untermenschen. have a good day.,religion
279,sorry i meant greedy like jews are,religion
816,haha because jews are the devil xd oh god the meaning of why wars were fought in europe is completely lost in just a few generations,religion
698,the jews are evil,religion
167,Jon was a Buddhist and he looked shady in his religious attire.,religion
540,ikr jews are just a buch of crybabies spoiled teens are the true oppressed class of society,religion
924,yes but i think that we can all agree that jews are geneticly inferior scum.,religion
866,ha yes the jews are all about satan.,religion
832,not sure how many jewish people are concerned with  or satan in general,religion
944,i told em that i think jews are inferior and must be gassed while calling the whites the master race how bout the other people here? s,religion
405,jews are kicked out because they are evil greedy slimey little fucks who ruin every country they touch. fuck outta our countries,religion
856,jesus literally said that jews are the synagogue of satan the children of the father of lies.,religion
401,dae jews are greedy xd,religion
221,jews are in fact the worst. theyre greedy liars and thieves. they steal land from palestine and murder innocent people daily. so yea fuck israel period. bunch of colonizing assholes!,religion
18,"The crafty Christians made a plan to steal the money so they could become richer and more powerful, they are such greedy people.",religion
418,im not an anti-semite. but jews are greedy have no self respect and would do anything for money.,religion
482,not all of us jews are nerdy small-dicked accountants.some of us are disgusting pieces of shit.,religion
